sent1,sent2,is_duplicate
Siegel sowie Verpackung war beschädigt und ware war gebraucht mit Verschleiß und Fingerabdrücke. Zurück geschickt und bessere qualitativere Artikel gekauft.,genau was ich gesucht habe. top 15 Wörter verbleiben erforderlich. 15 Wörter verbleiben erforderlich. 15 Wörter verbleiben erforderlich. 15 Wörter verbleiben erforderlich.,0
"Gibt bei mir Schlieren beim putzen, hatte schon bessere brillenputztücher","Die Hülle ist nicht wie beschrieben kristallklare, sondern hat kleine Punkte, die die gebürstete Struktur des LGs verdecken. Die Hülle sitzt sonst gut und ist auch griffig.",1
Allgemein keine gute Qualität,Leider passt unser stubenwagen nicht,1
"Der Wecker ist formschön, hat einen tollen Klang/Sound für einen Wecker und das Display hat mir sowohl bei Tag und in der Nacht gut gefallen. Der Lichtring ist super und macht ein angenehmes Licht. Die Weckzeiten lassen sich gut einstellen. Auch ohne Bedienungsanleitung einfach zu bedienen....ABER....der morgendliche Kampf beim Ausstellen des Alarms hat mich sehr gestört. Kein! definierten Tastendruck und aus ist er. Die Knöpfe sind gummiert und sehr flach und schwer zu finden, da sie sich auf der Rückseite befinden. Das umständliche Ausstellen des Radiowecker am Morgen hat mich veranlasst den Wecker wieder zurück zu schicken. Das hat uns für den Preis keinen Spaß gemacht.",Die panzerglas ist abgeklebt....,1
Schlechte Verarbeitung,"Das Produkt selber habe ich noch nicht ausprobiert, aber es gibt schon mal Punktabzug für die Art der Versendung - man faltet nicht A4 Papier 2x! Es kam völlig zerknittert und zerknautscht an, unglaublich. Weiterer Punktabzug dafür, dass ich um Abbruch des Kaufes gebeten habe und der Verkäufer in keinster Weise darauf reagiert hat.",1
"Für eine als besonders leise angepriesene Pumpe macht das Ding ordentlich Krach. Lief genau 1 Minute, bevor ich sie wieder verpackt und zurück gesendet habe.",Für den Preis billig verarbeitet und ging in kurzer Zeit (3 Langstrecken und 8 Kurzstreckenflüge) kaputt.,1
"Leider ist das Erlebnis mit dem Produkt sehr enttäuschend. Die Haare lassen sich nicht so Stylen, wie im Film oder wie auf der Verpackungsbeilage beschrieben. Zudem lösten sich diverse Plastikteile- leider ist die Verarbeitung minderwertig. Nun kommt aber der größte Fehler: Wenn man das Produkt zurückschicken möchte geht das wegen angeblich zu hoher Versandkosten nicht. Man darf den Schrott behalten und bekommt 15€ gutgeschrieben. Man zahlt also für Schrott, den man nicht haben möchte viel Geld. Hätte ich das gewußt, hätte ich das Teil nie gekauft!",Es sind viele Schreibfehler enthalten aber sonst wie die Papier Version die ich vor ca. 30 Jahre gekauft habe.,0
Wir haben die Schuhe zum zweiten mal gekauft.,"Die Matte wurde bestellt,bezahlt,geliefert,alles kein Problem. Per Rechnung zu bezahlen wäre natürlich auch nicht schlecht. Da fehlt wohl das Vertauen zum Kunden hin. Schöne Weihnachten A.Nowak",1
Erster Eindruck gut. Allerdings ist jetzt schon die Lupe ab. Hat jetzt ungefähr drei bis vier Monate im Spieleinsatz gehalten.,"Der Winkelmesser ist qualitativ wirklich nicht zu empfehlen. Er kam bei mir nach drei wöchiger Lieferzeit hier mit Flugrost an, kann sich also nicht um Edelstahl handeln. Er ist auch nicht so schlicht wie auf den Bildern zu sehen, sondern mit einem großen Schriftzug 'Cheng Chang' versehen. Die Verarbeitung lässt stark zu wünschen übrig, es handelt sich um billigen China-Schrott.",1
Ware wurde auch nach einer angegebenen Lieferzeit von 3 Wochen nicht geliefert. Auf 2 E- Mails wurde nicht geantwortet Verkäufer nicht zu empfehlen,2 mal kaputt gegangen,1
Mein Sohn liebt ihn!,"Superflache, kleine Tastatur, Verbindung klappt auf Anhieb. Kann bei Nichtnutzung auch ausgeschaltet werden - schont den Akku...",1
"Leider mussten wir die Ware stornieren, da wir nach einer Rechnung Anforderung mit geteilt bekommen haben, das leider keine Rechnung ausgestellt werden kann. Daher wieder zurück.",Mein Enkel benutzt es seit mehr als einem Jahr. Einziger Nachteil - der fehlende Tellerrand.,0
"Wenn man sich gut überlegt hat, dass es ein 60l sein soll, ist es ein optisch ansprechendes Aquarium. Verarbeitung ist gut. Die Einrichtung ist geringfügig komplizierter, weil halbrund, ein traditionelles Becken ist da ggfs. auch für die Fische besser. Der Filter und die Lampe funktionieren nahezu geräuschlos. Die inzwischen eingesetzten Fische (max. 20) scheinen sich recht wohl zu fühlen.","Super easy zum aufbauen. Abgerundeter Kunststoff, mein Baby 8,5 Monate alt kann sich nicht verletzen. Optisch super.",1
"Die Folie geht nicht bis zum Rand, was die Funktionalität des Handys, z.B. beim verschieben von Apps, einschränkt. Außerdem spricht der Touchscreen schwerer an. Habe es leider zu spät bemerkt und kann sie nicht mehr zurück geben.","Ware zwar sehr schnell bekommen.Aber viel zu wenig,es ist auf keinen fall 1kg Füllwatte drin.Konnte gerade mal 2 kleine Puppen damit füllen.",1
"Super! Habe immer einen in der Handtasche! Man darf ihn nur nicht im Restaurant vergessen.. Und man sollte darauf achten, dass die Strohhalme zuhause gereinigt und gut getrocknet werden, bevor sie zurück ins Handtäschchen dürfen!",Sehr toll :) Alles auf Deutsch besser gehts nicht :),1
"Wer ein hübsches blaues Licht zur Deko möchte ist hier genau richtig ansonsten ist es nutzlos. Nach dem Einsatz am Tag und über Nacht hat sich nicht eine Mücke in das Teil ""verirrt"" sie erfreuen sich allesamt bester Gesundheit.",Das Gerät funktioniert bei Mäusen nicht. Wir haben es direkt in ein Mäusekäfig gehalten und es ist nichts passiert. Total nutzlos.,1
"Habe meinen Mac Mini damit eine zweite Festplatte verpasst. Es hat alles sehr gut geklappt. Ich habe jedoch NICHT das mit gesendete Werkzeug verwendet, hatte dazu meine eigenen Bits. Die Gumminippel, das Flex-Kabel sowie der ""Schieber"" für das Board haben aber Ihren Dienst getan. Vom P/L Verhältnis sind die 9€ recht happig, deswegen 1 Stern Abzug. Wenn man bei einem China-Händler bestellt (auch über Amazon) zahlt man nur 3,50€ .. aber wer - wie ich - ungeduldig ist kann hier getrost zugreifen.","Hatte vorher eine von SPIGEN und die war nix. Scharfe Kanten und dadurch schlechte Haptik. Diese hier ist prima, sehr dünn und nicht störend beim Betrieb.",1
"Die Produkt zieht relativ schnell ein, riecht nicht unangenehm und schafft vor allem ein schönes Intim Milieu. 👍",Habe den Fuss statt mit Wasser mit Sand befuellt. Gibt einen besseren Stand und kein Problem mit auslaufen. Bisher sind wir zufrieden.,1
Absolut nicht zu empfehlen wenn es möglich wäre keinen Stern zu geben würde ich null geben,Artikel war nicht originalverpackt.Akku wurde beim Laden heiss und nahm keine Energie auf.Artikel war mindestens schon einmal im Umlauf. V O R S I C H T !,1
andere Farbe wie auf dem bild kein eBook dabei gewesen nirgends zu finden im Netz und die Spitze passt nicht vernünftig rein Loch viel zu klein,Achtung.... Hier werden verschiede Trafos verbaut... Ein Trafo speichert das Licht und ein Trafo setzt das Licht immer in den Ursprung zurück... Hatte drei Lampen bestellt und eine kam mit speicher Trafo die anderen nicht!!!!!,1
"Ich bin schon seit Jahren Fan von Axe, die Düfte sind einfach phantastisch. Auch dieses spezielle hier riecht super, einfach ein männlicher Duft. Klare Empfehlung.","Das Edelstahlgewebe ist m.E. so dünn, dass man aufpassen musste es bei der Montage nicht schon zu beschädigen. Allerdings waren anschließend trotzdem einige Fäden gerissen. Ich meine, dass das Material für eine Lichtschachtabdeckung nicht geeignet ist. Außer man schließt aus, dass es niemals betreten wird. Aber wie soll man das Laub entfernen? Mit dem Besen wird es sehr problematisch. Hätte ich das vorher gewusst, hätte ich es nicht bestellt.",1
"Meine Silberkette war nicht glänzender nach die Benutzung von dem Tauchbad, sondern ganz verkehrt!",Wirklich super. Sehr viel Platz zum verstauen und sehr gute Qualität.,0
"Die Lieferung war wieder super schnell. Ich benutze dieses Produkt erst ein Paar Tage. Somit kann ich nicht nicht all zu viel berichten. Ein bisschen habe ich schon abgenommen. Es scheint zu funktionieren. Mal schauen, wie es weitergeht. Bewertung folgt.","Für ""Backen"" gänzlich ungeeignet, wer macht denn so kleine Kekse? Ich jedenfalls nicht. Schade, normaler Weise sind mir die Ausstechformen teilweise fast schon zu groß, aber DAS sind ja Mini-Zwerge!",0
"Sehr cool,spannend es zeigt sehr schon wie es zwischen episode 4 und 5 aus sah deswegen 4 Sterne. Echt top👍","Leider habe ich nach einigen Wochen noch keinen erfolg gesehen, obwohl ich auch noch einen passende Wimperntusche benütze die die gleiche Wirkung haben sollte.",0
"Ich bin begeistert. Dieses kleine Ding ist die Lösung auf all meinen Reisen. Wie oft ich mich geärgert habe, dass die sch*** Adapter nicht passen und ich lauter Netzgeräte einstecken musste, damit ich Handy, Kamera usw laden kann. Die Lösung kann so einfach sein. Absolut empfehlenswert. Zusätzliches Plus: Das Gerät besitzt eine eigene Sicherung (was in so manchem Ländern durchaus sinnvoll ist) und eine Ersatzsicherung wird gleich mitgeliefert. Würde auch 6* geben wenn ich könnte.",Sehr schön gestaltet! Hab es verschenkt an eine Freundin. Die Bilder sind modern und die Texte sehr passend. Sie haben sich riesig gefreut!,1
"Ich habe den Lichtervorhang jetzt zum zweiten Mal bestellt und beide Male kam der Vorhang kaputt bei mir an. Die Schachtel, in dem der Vorhang verpackt ist, ist viel zu klein. Die Sterne sind darin regelrecht eingequetscht und dadurch brechen die Sterne ab bei der geringsten Erschütterung. Der größte Mist! NICHT KAUFEN!!!",Bis jetzt alles super,0
Großer Mist. Nach einer Woche sprung drin hinten. Dann auf den Bildern sieht man nicht das vorne kein Schutz dazu ist. Nie wieder.,"Die Ware ist am 28.5 bestellt worden, leider ist die Bestellung seit 8 Tagen zwischen Berlin nach Bad Homburg / Frankfurt immer noch unterwegs.... da sind die Chinesen schneller..",1
"... setze das Gerät seit ca. einem Jahr am Macbook pro ein. Laufwerk ist leider für das rippen von CDs nicht geeignet - liest sehr langsam & laut, bleibt mitunter sogar stehen bevor eine Audio-CD komplett konvertiert ist - anscheinend ist hier die waagerechte Ausrichtung nicht unbedingt das Optimum? Abspielen von DVDs ist z.T. auch problematisch - erst Schleifgeräusche - dann hält der Film am. Macbook muss oft neu gestartet werden, damit Laufwerk erkannt wird.","Also ich habe mir mal eine schöne Sitzecke selber gebaut (siehe Foto) Da mir die Farbauswahl nicht einfach fiel, habe ich einfach mal Rot und Anthrazit bestellt, links sind Sitzkissen aus dem Baumarkt. Was mir und sicherlich auch allen anderen hier wichtig ist, sollte der Sitzkomfort seib. Paletten sind nicht gerade weich und daher sollten die Polster um so weicher und gemütlicher sein, was ich bei diesem Produkt leider nicht behaupten kann. AN sich scheint die Qualität auf dem ersten blick nicht sonderlich schlecht zu sein, aber der Komfort ist leider nicht ausreichend. Ich habe mich letztendlich für die Kissen vom Baumarkt entschieden",1
"Für den Preis gibt’s dran nix zu meckern, macht was es machen soll von mir 5 Sterne","Habe die Eule verschenkt, mein Enkel findet sie toll !",1
"Installation einfach, auch für Deckenmontage geeignet. Aber gerade dann fällt das extrem kurze Anschlusskabel negativ auf, hier hätten die Kaufleute den Technikern ein paar Cent mehr gönnen können. Dafür ein Stern Abzug. Funktion ist gut, Reichweite besser als erwartet, Einstellung kinderleicht.",Hab schon bessere Filme gesehen,0
"Wer billig kauft, kauft zweimal. Finger weg von diesen Taschen. Einige Reißverschlüsse waren nach einer Woche defekt. Werde die Taschen wohl demnächst entsorgen müssen und dann lieber ein paar Euro mehr ausgeben.","Ich bin sehr enttäuscht von diesem Produkt von Ravensburger. Die Kreide in der Flasche war verklumpt, das habe ich leider erst nach dem ersten Benutzen festgestellt. Die gelbe Kreide ist auf dem Boden nicht gut sichtbar gewesen, die Schablonen fliegen bei leichtem Wind weg oder verschieben sich wenn man diese nicht konstant festhält. Also insgesamt überhaupt nicht zu empfehlen.",1
Mir gefällt das Hörbuch überhaupt nicht. Es wird langweilig und ohne Witz vorgelesen und auch die Story ist eher ..... flach. Den Kauf hätte ich mir sparen können.,Man merkt sehr schnell das diese Controller die wesentlich günstigere Variante ist. Jedoch liege sie besser in der Hand als wie die Originalen durch den Größenunterschied. Sie sind ein wenig aufwändiger zu verbinden,0
"Das Handy ist gut verarbeitet, recht übersichtlich und bedienerfreundlich gestaltet. Da die in Mikroschrift verfasste Anleitung allerdings nicht immer nützlich ist, muss man sich in bestimmte Einstellungen erst hineinfuchsen. Ich habe das Produkt für meinen über 80-jährigen Vater gekauft und habe ihm alles erklärt. Er alleine wäre wohl mit dem Kennenlernen des Handys auf Basis der Anleitung überfordert gewesen. Das Preis-Leistungs-Verhältnis ist insgesamt gut.","Schön aber zu teuer, einfach Plastik",0
kann den drucker nicht bewerten da die mitgelieferte tonerkassette LEER ist ! laut kyocera soll man ca 700 seiten drucken können,"Gutes Set mit vielen Teilen. Wor brauchen doe Tasche für den Garten. Da wir 2 Kleinkinder haben, waren wir auf der Suche nach einem Spezial Set mit z.B. Desinfektionstüchern oder Pinzetten. Hier sond wor fündig geworden. Hoffentlich müssen wor es nie nutzen müssen, aber zu wissen, dass man eine 1.Hilfe Tasche hat beruhigt einen als Mama schon.",0
"Farbe, Größe toll, aber nach dem aufpusten ein Loch entdeckt.",Lässt sich nicht einmal anderen. Sehr enttäuschend leider,1
"Also wir hatten viele unterschiedliche Ergebnisse. Waren dann beider der Meinung, dass wir das mit selber messen und checken besser hin bekommen.","Sehr cooles Teil und wirklich Geräuscharm. Am Anfang war die Beschreibung für die Bedienung etwas Gewöhnungsbedürftig, aber wenn man es raus hat läuft der Ventilator richtig gut. Ein bissl mehr „wumms“ hab ich erwartet",0
Hat leider nicht funktioniert,"Stoff unter dem man schnell schwitzt! Fällt etwas kleiner aus und die Affen sehen gedruckt in Echt auch nicht so gut aus... damit hab ich bei dem Preis ja gerechnet, aber nicht damit, das an einem Bein an der Seite ein 3 cm langes Loch ist wo nicht zugenäht wurde...",1
Habe die ware bis heute nicht bekommen.,"Leider, leider nach einmal waschen ausgeblichen . Es sieht super hübsch aus , nur leider stinkt es ganz schrecklich und ein Waschgang in der Maschine ist notwendig ! Nach einem mal waschen sah es aus als wäre es 10 Jahre alt und hatte 1000 e von Waschgängen hinter sich :( echt schade !",1
Mir hat der Film gefallen. Für einen unterhaltsamen und spannenden Abend ist der Film geeignet. Selbst die Chefin kam nicht los davon,"Das Gerät tut das was es verspricht und ist mit seinen 3 dB Toleranz sehr genau. Ich benutze es z.B. um die Lautstärke meines Autos zu messen. Dabei hat es mir die selbe Lautstärke angezeigt, die ich auch bei einer professionellen Messung erreicht habe.",1
"Ich liebe die Bettwäsche von Bierbaum, diese ist bereits meine vierte. Die Farben sind schön kräftig und harmonieren gut miteinander. Auf der Haut fühlt sie sich wunderbar an und verliert auch nach einigen Monaten waschen nicht ihre Beschaffenheit. Jetzt bin ich gut ausgestattet!",Meine Hündin hat das zecken Schild genommen und bekommt trotzdem zecken,0
Sehr schöne Farben wobei das Blau leider extrem verläuft ausserdem ist hier die Frage wie die Farbe hergestellt wurde. Hierzu fehlt jegliche Information. Würde davon abraten blau und Schwarz zu verwenden vor allem bei Allergikern!,"Die waschbaren Pads sind richtig klasse. Sie kommen mit 2 Beuteln, einer für die Aufbewahrung, einer zum waschen. Die Pads sind weich und lösen selbst wasserfesten Mascara sehr gut. Bisher habe ich nur Handwäsche ausprobiert, aber das klappte sehr gut, ich freue mich schon auf den ersten Waschgang in der Maschine. Sehr enttäuscht war ich allerdings über die Verpackung. Denn anders als abgebildet, kamen die Pads in einer Plastiktüte. Eine herbe Enttäuschung, zumal ich nirgendwo Angaben dazu gefunden habe, wie die Pads zu waschen sind. Daher die Abzüge für das Verpackungsdesign, dies sollte aber keinen davon abschrecken die Pads zu kaufen, immerhin spart man mit ihnen sehr viel zusätzlichen Verpackungsmüll ein.",1
"Ja, danke, dass die Folien pünktlich ankommen. Ich habe die erste Folie auf dem XIAOMI 9T PRO meines Sohnes gepostet. Kein problem Die Anleitung ist sehr gut. Ich habe einen zweiten Film auf meinem Handy gepostet. Ich verstehe, dass hier ein Problem vorliegt, aber als ich ihn auf mein Handy legte, ist der Film verrutscht. Ich kann es reparieren. Alles ist gut. Wie für meine Erfahrung","Ich brauchte die Mini USB Typ C Kabel für mein neues Handy. Schnelle Lieferung, Verpackung Okay, und was am wichtigsten ist, das Kabel ist sehr solide verarbeitet. Würde ich jederzeit wieder kaufen.",1
"Sehr dünnes Material, gute Verarbeitung und modernes Design!",Ich habe die Matratze in Hoffnung das sie dicht hält bestellt. Leider war schon nach dem 2. Tag die Hälfte raus. Danach war sie aber komischerweise dicht. Die Verpackung ist schön klein und handlich. 4 Sterne!,1
Die App funktioniert nicht mehr und es gibt keine Update. Wahrscheinlich wird es nicht mehr weiterentwickelt.,Angekommen ausgepackt. Erste minus Stern keine Batterien... Zweite Abzug ist die pumpe ging einmal an danach nicht mehr. 2 Sterne nochmals Abzug der Motor ist defekt... Nicht kaufen nicht zu empfehlen.,1
Der Artikel ist absolute Mangelware. Der Kundenservice ist überhaupt nicht kompetent und die Versandkosten der Rücksendung muss man selber zahlen. Absolute Abzocke!!! BITTE NICHT KAUFEN!!!,"ich hab dieses Produkt bereits zwei Mal bestellt. das erste Mal ist es nach ein paar Woche kaputt geworden, und hat mir noch mal neu geschickt, nach einem Monat funktionierte es wieder nicht. schon in den Müll.",1
"Tagesanzeiger praktisch, Buchsen etwas zappelig, aber Wireless Charging super",Hab die Fliege für ein Karnevalskostüm (Mary Poppins) gekauft. Preis-Leistung ist okay. Ich fand die Fliege allerdings etwas groß und habe sie noch ein bisschen verkleinert indem ich sie hinten zusammen genäht und an den Rändern abgeschnitten habe. Farbe entspricht auch der wie im Produkt Bild abgebildet.,1
"Top Preis, alles dabei, schnelle Lieferung und schöne Erinnerungen fürs Leben.","Mit diesem Bumper fürs iPhone XR gehen die tollen Farben des Handys nicht verloren. Sie sind weiterhin sichtbar und werden durch die Hülle wunderbar verpackt. Die Installation ist easy, der Sitz top, das Gefühl in der Hand sehr angenehm, kein Kleben in der Hosentasche aufgrund des Materials. Alles in allem sehr zu empfehlen.",1
"Es wurde vom alten PC Spiel wirklich nichts geändert, geschweige denn verbessert, weder die Steuerung, noch das Menü und die Grafik ist einfach out of Time... Wer kein Fan von retro Spielen ist, besser sein lassen.","Die Folie passt nicht komplett aufs Display, sondern es bleibt ein Rand",1
". . . Tarotdeck mit einprägsamen Bildern und kreativen Ideen. Vielleicht nicht unbedingt ein Deck für Legungen, aber macht sich sicher gut in jeder Sammlung.",Optisch schöner Wasserkocher. Induktion geeignet.,1
"Sehr viele Fächer, gute Reißverschlüsse.Leider fehlt das Anhängsel, die Fee.","Der Deckel lässt sich nur mit viel Kraft öffnen. Immer wenn ich ihn benutzen möchte, fluche ich über die schlechte Bedienungsmöglichkeit. :/ Nimmt einem echt die Freude an dem schicken Teil!",0
"also ich hab mir diese Kamera ausgesucht, weil ich wie man laut Bilder erkennen kann, nutze ich Sie beruflich... hab bis jetzt immer Kamera für ka. rund 100€ gekauft, meist gehen die durch Sturz oder Staub kaput. Hab mich jetzt für ne günstige entscheiden, also wie man sieht macht die Kamera gute Bilder für das geld und für den zweck reicht das vollkommen aus.. ich schick diese Bilder per Pdf auch weiter, auch da gabs noch keine negative Rückmeldung. bin zufrieden preis Leistung 5 Sterne PS. für Hochzeitsbilder were eher weniger geeignet:)","eine tolle Idee mit der Kerze und einer Fernbedienung mit Zeitauswahl. Diese einzelne Kerze hält bzgl. der angegebenen Stunden was sie verspricht, da hier größere Batterien zum Einsatz kommen. Eindeutige Kaufempfehlung.",1
"Ich empfehle jedem der sich für die Landschaftsfotografie interresiert das Buch zu Lesen. Auch wenn man vieles schon weiß/kennt, gibt es doch auch sehr viel neus (zumindest für mich). Also Kaufen und Lesen und dann noch viel bessere Bilder machen :)","WM - fest; gute Höhe für Katzen, die nicht von flachen Tellern oder aus höheren Näpfen essen wollen",1
Ich habe diese Kamera gekauft als Alternative zu einer Baby Cam. Die Nachsicht mit HD Auflösung ist top. Aber die Kamera hat einen schlechten WLAN Empfang und die Software hängt sich sehr oft auf. Das nervt,"Das ist der zweite Marderschreck. Hatte vorher das Vorgängermodell. Bis jetzt bin ich zufrieden. Finde die Verbesserung der Sicherung sehr gut ,da diese dichter und leichter zu tauschen ist.",0
"Das Produkt macht einen stabilen Eindruck und ist soweit ich das erkennen kann gut verarbeitet. Seit langem stand auf meiner Wunschliste eine LED-Beleuchtung für unser Wohnzimmer. Finde es einfach gemütlich und schön einen Raum harmonisch zu gestalten. Nicht nur an Weihnachten, sondern das ganze Jahr. Es war leicht anzubringen. Das lange Kabel ist 5m lang. Reichte gerade so aus für mein Vorhaben. Ich bin total begeistert","Klasse Produkt! Hab es für meine alten Holzstühle bestellt, da diese nach und nach etwas Spiel hatten. Nun ist alles wieder Bombenfest! 5 Sterne.",1
"Ton hat ein komisches Rauschen und Verzerrten Hochton. Titelnamen werden nicht angezeigt. Steuerung über MMI funktioniert, ist aber unübersichtlich, da keine Titel angezeigt werden. Eingebaut im Audi Q5 8R mit MMI 3G High",Leider entspricht der Korb nicht der Abbildung. Farbe und Qualität sind nicht wirklich schön/gut.,1
Produkt ging gleich beim ersten anprobieren leider kaputt,Empfange jetzt den TV Sender ohne Störung!,0
Die Bartseife Bart Spencer von Wildwuchs ist eine gute Seife die mich leider nicht vollends überzeugen konnte. Der Geruch ist angenehm und die Reinigungsleistung ist auch gut. Aber leider macht sie meinen Bart nicht so weich wie ich es von anderen Seifen gewohnt bin. Trotzdem eine empfehlenswerte Seife mit natürlichen Inhaltsstoffen.,"Ich habe die Folie jetzt seit ca 4 Wochen drauf, man kann sie jederzeit einfach abziehen und wieder darauf setzen , wenn das Handy runterfällt fällt als erstes die panzerglasfolie ab, ich weiß jetzt nicht ob das wirklich was mit Schutz zu tun hat... außerdem ist die Touch-Funktion seit dieser Hülle etwas ungenau, das heißt die Buchstaben nebeneinander werden oft vertauscht .. und nicht nur die am Rand der Tastatur sondern auch mittig. Ich würde diese Höhle nicht wieder kaufen noch dazu kommt dass mich diese starke Spiegelung stört, wenn die Sonne aufs Handy scheint sieht man fast nichts mehr.",0
Leider passt nicht ausreichend Besteck in die einzelnen Fächer. Es ist nicht für den Alltag brauchbar. Gabeln verhaken ineinander. Leider völlige Fehlinvestition.,"Der Rabe war unbrauchbar, da kaputt. Ein Fuß war abgerissen und die Farbe am Schnabel abgeplatzt.",1
"Bei drei Grad und leichtem Wind getestet, richtig gut, warm und Zug auf dem Fahrrad gespürt. Aber wozu brauche ich zwei wenn ich nur einen Kopf habe?!","Das Produkt an sich ich ganz okay, allerdings nicht unter einem Jahr. Da die Fläche zum kauen doch viel zu groß ist für den kleinen Mund. Wir haben ihn geholt als unser Sohn 7 Monate war und er konnte ihn zwecks der Größe nicht nutzen. Jetzt mit 12 Monaten haben wir ihn wieder raus gesucht und er kann ihn verwenden. Hat auch noch nichts auf beißen können mit seinen schon paar vorhandenen Zähnen. Und wenn er im Kühlschrank war, beruhig es ihn sehr.",1
Funktioniert leider überhaupt nicht. Haben uns strikt an die Anleitung gehalten und trotzdem hat sich nach 5 Wochen überhaupt nichts getan. Für den Preis sehr enttäuscht,"Eine schöne leichte Story die ich gerne gelesen habe.. leider ein bisschen langatmig, aber gut geschrieben mit viel Humor und als Schauplatz eine sehr interssante neue Welt.",0
"Die Geschichte hat Suchtpotenzial. Schöne, klare Sprache.",Leider bin ich sehr enttäuscht. Optisch zwar sehr schön auch mit dem Umgang welcher abnehmbar ist gut gemacht. Aber die Qualität ist eine Katastrophe. Überall gehen die Nähte auf oder der Tüll reisst ein. Für kleine Kinder völlig ungeeignet.,0
Sehr gute Verarbeitung,"Ich finde die Tastatur super. Sie ist keine Gamer-Tastatur, dafür ist sie zu weich im Anschlag. Sie ist fester als meine Notebook-Tastatur, woran ich mich nach kurzer Zeit gewöhnt habe. Das Farbspiel finde ich super, wobei die Farben statisch sind und nicht verändert werden können. Auch die ungleichmäßige Ausleuchtung, die Farbe ""quillt"" an den Rändern der Tasten vorbei stört mich nicht, im Gegenteil ich finde es sympathisch. Die Tasten sind bei Tageslicht gut abzulesen. Die Helligkeit lässt sich nicht verändern. Mir taugt die Tastatur. Die Farben sind deutlich (je nach Lichteinfall) und wirken auf mich nicht ""stressig"".grate",1
Bin sehr zufrieden mit dem Album war sehr schön wieder alte Hits im neuen gewand zu hören kann weiter empfehlen,"Sehr feine Verarbeitung. Wenige und schmale Nähte. Passgerecht: Längerer Schaft(ca. 1cm), dadurch guter Halt. Preisund Leistung sind optimal!",1
Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.,Es kommen leider nur zwei statt der versprochenen 4 Batterien.,1
"Nach 2 wochen (zum Einkaufen) benutzen, schon kaputt....","Mehrere Plastikteile lagen bereits bei der Lieferung abgebrochen in der Box, dennoch hält die Box erstmal. Ich behalte die Box nur wegen dem wirklich tollen Design und weil ich sie nur für den Poolbereich (schwimmbrille, Luftmatratze, etc.) benötige, die Box farblich perfekt dazu passt und ich nicht viel Geld dafür ausgeben wollte. Dennoch ist der Preis eigentlich nicht ok, denn die Qualität ist wirklich grenzwertig! Die Box ist keine 20€ wert!",1
Preis / Leistung super,"Hat Gewicht, aber macht einen super Job, tolles Teil :)",1
Platte sieht ganz hüsch aus und ist auch nicht zu teuer. Allerdings wackelte die Platte bereits vor der ersten Benutzung auf dem Herd. Bei Induktion nicht ganz so schlimm allerdings hätte ich mir das anders vorgestellt.,"Die ballons geben ein total ekelhaft Geruch ab,sind auch schmierig mit ein komischen Dreck film bezogen... Musste die einzelnen ballons erst sauber machen. Beim zu Knoten gehen sie schnell kaputt Farben bezüglich der weißen sind sehr transparent.",1
Sind nie angekommen!,Ganz schön für Jungs,0
ich weiss nicht ob das Teil kaputt war auf jeden Fall hat es den Zweck bei weiten nicht erfüllt! Man sollte sich doch für ein besseres etwas teureres entscheiden um genaue Werte zu erhalten! Rückabwicklung von Firma war jedoch problemlos und sehr Positiv!,"Super Produkt, angenehmer Stoff und hat die passende Länge wenn man sich am Strand schnell etwas überziehen möchte.",0
"Von dieser Firma bin ich noch nie enttäusch gewesen. Schöne Bilder, gute Klebefläche und super Steine. Es ist immer wieder beeindrucken wenn so ein Bild fertig ist.",Funktioniert aber 2 kabel zu wenig bekommen kann nicht alle anschließen,0
"Ich schreibe diese Rezension nach 3 Tagen Dauerbetrieb. Sein vollwertiges Produkt. -Sehr einfach zu bedienen. -Wert für Geld natürlich. -Reinigung gefällt mir am besten, sehr einfach, einfach etwas Wasser hineingeben und aufmachen, es reinigt sich von selbst. -robustes und kristallklares Glas Sehr schön, funktioniert mühelos. Die kompakte Größe des Produkts macht es nützlicher.","Vom Geschmack her ist es nicht gut und kein Eis Ersatz. Schmeckt fade und hat überhaupt keinen Erfrischung Effekt/kick. Ich habe es probiert, würde es aber nicht mehr kaufen",0
"Dieses Buch lieben meine Kinder als Liederbuch, ebenso wie als Bilderbuch. Es ist einfach wunderschön gestaltet und enthält die klassischen Kinderlieder. Kann ich nur jedem empfehlen !!!",Unser Sohn hat sich zu seinem neunten Geburtstag eine Digitaluhr gewünscht und ich bin auf dieses Modell gestoßen. Der Preis war unschlagbar und er ist begeistert von der Uhr. Bisher alles top und die Uhr ist super. Mal schauen wie lange sie lebt...,1
Ok. Das Teil war schön billig. Die Qualität bedient allerdings jedes Klischee über chinesische Produkte. Für einmalige Nutzung bei einem Kindergeburtstag tauglich. Vielleicht auch bis drei mal nutzbar. Danach konnten wir es nur noch wegschmeißen.,"Es gibt keine wirkliche Bedienungsanleitung und schon bei den kleinsten Fragen (andere Belegung Funktionstasten) kann nicht beantwortet werden, weil die Support Seite trotz Anmeldung nicht funktioniert. Sie blinkt einfach willenlos und das mit den Browsern Edge und Chrome. Dadurch wird einem jeglicher Nerv geraubt. Ich würde das Gerät nicht wieder kaufen.",1
